batch,sample,elapsed_s,S1_Bx,S1_By,S1_Bz,S2_Bx,S2_By,S2_Bz
1,18,5.381554,0.000000,0.196000,0.000000,0.000000,0.000000,0.000000
1,19,5.414949,-0.098000,0.000000,-0.196000,0.000000,0.098000,-0.098000
1,20,5.448366,-0.098000,0.196000,-0.196000,0.098000,0.098000,0.000000
1,21,5.481766,0.000000,0.000000,-0.098000,0.000000,0.098000,-0.098000
1,22,5.515184,-0.098000,0.000000,0.098000,0.098000,-0.196000,-0.098000
1,23,5.548582,-0.196000,0.294000,-0.098000,0.196000,0.098000,-0.098000
1,24,5.581972,-0.098000,0.098000,0.098000,0.098000,0.098000,-0.098000
1,25,5.615366,0.000000,0.000000,-0.098000,0.000000,-0.098000,-0.098000
1,26,5.648758,0.000000,0.098000,0.000000,0.000000,0.098000,0.000000
1,27,5.682176,-0.196000,0.098000,-0.098000,0.000000,0.098000,0.000000
1,28,5.715598,0.000000,0.196000,0.098000,0.196000,0.000000,0.000000
1,29,5.749003,-0.098000,0.098000,0.098000,0.098000,0.196000,0.098000
1,30,5.782408,0.000000,0.294000,-0.098000,0.196000,-0.098000,-0.196000
1,31,5.815796,-0.098000,0.098000,0.098000,0.000000,0.196000,-0.196000
1,32,5.849179,-0.196000,0.000000,-0.098000,0.196000,-0.098000,0.098000
1,33,5.882573,0.000000,0.294000,-0.098000,0.098000,0.098000,-0.098000
1,34,5.916007,-0.098000,0.098000,-0.098000,0.000000,0.098000,0.000000
1,35,5.949437,0.098000,0.294000,-0.098000,0.294000,0.098000,0.098000
1,36,5.982831,0.098000,0.294000,-0.098000,0.000000,0.098000,-0.196000
1,37,6.016227,0.196000,0.000000,0.098000,0.098000,0.098000,0.000000
1,38,6.049621,-0.098000,0.196000,0.098000,0.196000,0.098000,-0.098000
1,39,6.083017,0.000000,0.098000,-0.098000,0.098000,0.000000,-0.196000
1,40,6.116446,-0.098000,0.098000,0.196000,-0.098000,0.098000,-0.098000
1,41,6.149846,-0.098000,-0.098000,0.098000,-0.098000,0.098000,0.000000
1,42,6.183242,0.000000,0.000000,0.000000,0.196000,0.000000,0.000000
1,43,6.216637,0.098000,0.000000,-0.098000,0.098000,0.098000,-0.098000
1,44,6.250028,-0.196000,0.000000,-0.196000,-0.098000,0.196000,0.000000
1,45,6.283433,0.000000,0.196000,0.098000,0.098000,0.196000,-0.098000
1,46,6.316860,0.098000,0.098000,0.000000,0.000000,0.098000,0.000000
1,47,6.350277,0.000000,-0.196000,-0.098000,0.098000,-0.098000,0.000000
1,48,6.383663,0.000000,0.098000,-0.196000,0.098000,0.098000,-0.098000
1,49,6.417058,-0.098000,0.098000,-0.098000,-0.294000,0.294000,0.098000
1,50,6.450448,-0.196000,-0.098000,-0.098000,0.098000,0.098000,0.000000
1,51,6.483840,0.000000,0.098000,0.098000,0.098000,0.000000,-0.098000
1,52,6.517294,0.196000,0.000000,-0.098000,0.098000,0.098000,0.000000
1,53,6.550724,0.000000,0.098000,-0.098000,0.294000,0.098000,0.000000
1,54,6.584117,0.000000,0.098000,-0.098000,0.098000,-0.098000,0.000000
1,55,6.617515,-0.196000,0.098000,-0.098000,0.098000,0.098000,0.000000
1,56,6.650902,-0.196000,0.196000,-0.098000,0.098000,0.000000,-0.098000
1,57,6.684296,-0.196000,0.000000,0.098000,0.000000,0.098000,0.000000
1,58,6.717724,0.098000,0.098000,0.000000,0.000000,0.196000,0.098000
1,59,6.751120,0.000000,0.098000,0.000000,0.098000,0.000000,-0.098000
1,60,6.784515,-0.294000,0.000000,-0.098000,0.000000,0.098000,0.196000
1,61,6.817908,-0.098000,0.000000,0.098000,-0.098000,0.000000,0.000000
1,62,6.851305,0.000000,0.000000,0.000000,0.000000,0.098000,-0.098000
1,63,6.884698,-0.196000,-0.098000,0.294000,0.392000,0.196000,0.000000
1,64,6.918123,-0.098000,0.098000,-0.098000,0.098000,0.098000,-0.098000
1,65,6.951514,0.000000,0.000000,-0.098000,0.000000,0.000000,-0.098000
1,66,6.984915,-0.098000,0.000000,-0.098000,0.196000,0.000000,0.000000
1,67,7.018308,-0.098000,0.294000,0.000000,0.294000,0.098000,0.000000
1,68,7.051693,0.098000,-0.098000,0.294000,0.196000,0.000000,0.098000
1,69,7.085084,0.000000,0.098000,0.000000,0.098000,0.000000,-0.196000
1,70,7.118531,0.098000,0.098000,0.196000,0.098000,0.000000,0.000000
1,71,7.151940,-0.196000,0.294000,-0.196000,0.196000,0.294000,0.098000
1,72,7.185342,-0.294000,-0.098000,-0.098000,0.196000,0.098000,-0.098000
1,73,7.218743,-0.196000,0.098000,0.000000,0.196000,0.000000,0.000000
1,74,7.252135,-0.098000,0.098000,0.098000,0.196000,0.000000,-0.196000
1,75,7.285554,0.000000,0.098000,0.000000,0.098000,0.196000,0.000000
1,76,7.318979,-0.196000,0.196000,0.196000,0.098000,0.000000,0.000000
1,77,7.352392,0.098000,0.000000,0.098000,-0.098000,0.000000,-0.098000
1,78,7.385792,-0.196000,0.294000,0.098000,0.000000,0.098000,-0.098000
1,79,7.419202,0.098000,0.098000,-0.098000,0.098000,0.098000,-0.098000
1,80,7.452598,-0.196000,0.196000,0.098000,0.098000,0.000000,-0.098000
1,81,7.485992,0.000000,-0.196000,0.000000,0.098000,0.000000,0.000000
1,82,7.519405,-0.098000,0.000000,0.000000,-0.098000,0.098000,0.098000
1,83,7.552808,0.000000,0.098000,0.098000,0.196000,-0.196000,0.000000
1,84,7.586200,0.098000,0.196000,-0.098000,0.000000,-0.098000,-0.294000
1,85,7.619585,-0.196000,0.000000,0.000000,0.098000,0.000000,0.196000
1,86,7.652976,0.000000,0.000000,0.000000,0.000000,0.098000,0.000000
1,87,7.686365,-0.098000,-0.098000,-0.098000,0.000000,-0.098000,0.098000
1,88,7.719819,-0.098000,0.000000,0.098000,0.196000,0.294000,-0.196000
1,89,7.753212,0.098000,0.196000,0.098000,0.196000,-0.098000,0.000000
1,90,7.786606,0.000000,0.098000,0.000000,-0.098000,0.098000,0.000000
1,91,7.819991,-0.196000,-0.098000,-0.196000,0.098000,0.098000,-0.098000
1,92,7.853379,0.098000,0.098000,-0.098000,0.000000,0.000000,-0.196000
1,93,7.886807,0.000000,0.098000,-0.098000,0.098000,0.000000,0.000000
1,94,7.920232,0.000000,0.294000,-0.196000,0.098000,0.000000,-0.098000
1,95,7.953651,0.000000,-0.294000,-0.098000,0.098000,0.098000,-0.098000
1,96,7.987065,-0.098000,0.000000,-0.196000,0.196000,0.098000,0.000000
1,97,8.020466,-0.196000,0.098000,0.098000,0.000000,0.196000,0.098000
1,98,8.053895,-0.294000,0.098000,-0.098000,0.098000,0.000000,-0.098000
1,99,8.087295,0.000000,0.294000,-0.196000,0.000000,0.000000,0.098000
1,100,8.120723,0.000000,0.098000,0.000000,0.098000,0.196000,-0.098000
1,101,8.154118,-0.098000,0.196000,-0.196000,0.098000,0.098000,0.000000
1,102,8.187503,-0.098000,0.000000,0.000000,0.000000,0.098000,0.098000
1,103,8.220895,0.000000,0.196000,-0.196000,0.098000,-0.098000,0.000000
1,104,8.254304,0.000000,0.098000,0.000000,0.000000,0.098000,0.000000
1,105,8.287714,-0.098000,0.098000,-0.098000,0.196000,0.098000,-0.098000
1,106,8.321168,-0.196000,0.098000,-0.098000,0.098000,0.098000,0.098000
1,107,8.354600,-0.098000,-0.098000,-0.196000,0.196000,0.000000,0.000000
1,108,8.388008,0.098000,0.196000,-0.098000,0.196000,0.196000,-0.196000
1,109,8.421407,0.000000,0.000000,0.000000,0.196000,0.196000,-0.098000
1,110,8.454799,0.000000,-0.098000,0.000000,0.098000,0.000000,-0.098000
1,111,8.488204,0.000000,0.196000,-0.098000,0.098000,0.000000,-0.098000
1,112,8.521625,0.000000,0.294000,0.000000,-0.098000,0.000000,-0.098000
1,113,8.555023,0.000000,-0.098000,-0.098000,0.196000,0.098000,0.000000
1,114,8.588415,0.000000,0.392000,0.000000,0.000000,0.098000,-0.098000
1,115,8.621802,0.098000,0.294000,0.000000,0.196000,0.098000,-0.098000
1,116,8.655193,-0.196000,0.000000,-0.196000,0.000000,0.000000,-0.098000
1,117,8.688586,-0.196000,0.098000,-0.196000,0.098000,-0.098000,0.000000
1,118,8.722008,-0.196000,-0.098000,0.000000,-0.098000,0.000000,0.000000
1,119,8.755400,-0.098000,0.294000,-0.098000,0.098000,0.098000,0.098000
1,120,8.788798,-0.196000,0.000000,0.000000,0.000000,0.098000,0.000000
1,121,8.822192,-0.098000,-0.098000,-0.098000,0.000000,0.098000,-0.196000
1,122,8.855578,0.098000,-0.196000,0.196000,0.098000,0.000000,-0.098000
1,123,8.890719,0.000000,0.098000,-0.098000,0.000000,0.098000,0.098000
1,124,8.924194,0.098000,0.000000,-0.098000,0.098000,0.098000,0.000000
1,125,8.957571,-0.098000,0.000000,-0.098000,0.294000,0.098000,0.098000
1,126,8.990945,-0.294000,0.196000,-0.392000,0.196000,0.098000,-0.196000
1,127,9.024344,-0.196000,0.000000,0.098000,0.098000,0.098000,-0.098000
2,0,9.558185,0.098000,0.196000,-0.196000,-0.098000,0.098000,0.000000
2,1,9.591627,0.098000,0.098000,0.098000,0.000000,0.000000,0.000000
2,2,9.625037,-0.098000,0.000000,-0.196000,0.196000,0.098000,0.000000
2,3,9.658431,-0.196000,0.196000,-0.098000,0.000000,0.098000,-0.098000
2,4,9.691819,-0.098000,0.000000,0.098000,0.294000,0.098000,-0.098000
2,5,9.725240,-0.098000,0.392000,0.098000,0.196000,0.098000,0.000000
2,6,9.758655,0.000000,-0.098000,-0.098000,0.000000,0.000000,0.098000
