pose_id,session_id,recorded_at_utc,yaw_deg,pitch_deg,roll_deg,yaw_raw_deg,yaw0_deg,yaw_stddev_deg,pitch_stddev_deg,roll_stddev_deg,imu_samples,magnetic_samples,S1_Bx_raw_mT,S1_By_raw_mT,S1_Bz_raw_mT,S2_Bx_raw_mT,S2_By_raw_mT,S2_Bz_raw_mT,S1_Bx_stddev_mT,S1_By_stddev_mT,S1_Bz_stddev_mT,S2_Bx_stddev_mT,S2_By_stddev_mT,S2_Bz_stddev_mT,S1_Bx_corrected_mT,S1_By_corrected_mT,S1_Bz_corrected_mT,S2_Bx_corrected_mT,S2_By_corrected_mT,S2_Bz_corrected_mT,yaw_imu_original_deg,heading_error_estimate_deg,yaw_model_frame_deg,dial_frame_offset_applied_deg
234,cal-20260717T104800Z,2026-07-17T11:37:28.748870+00:00,-35.814100,-5.738115,0.419948,-30.238559,0.325617,0.001543,0.004903,0.006593,210,32,-1.926312,-4.939813,1.880375,-0.257250,2.756250,-1.050437,0.137717,0.149060,0.123052,0.118727,0.092302,0.111971,-1.870167,-5.017141,1.922995,-0.335854,2.686833,-1.024917,-30.564176,0.131964,-30.432212,5.381888050930
235,cal-20260717T104800Z,2026-07-17T11:37:36.410967+00:00,-45.593977,-5.684229,0.539212,-40.072444,0.325617,0.063979,0.010074,0.019626,217,32,-2.397938,-4.345688,1.656813,0.027563,2.808312,-1.074938,0.099519,0.125968,0.132559,0.090555,0.115713,0.091406,-2.341792,-4.423016,1.699432,-0.051042,2.738896,-1.049417,-40.398061,0.185972,-40.212089,5.381888050930
236,cal-20260717T104800Z,2026-07-17T11:37:42.675897+00:00,-55.738212,-5.659766,0.638900,-50.260839,0.325617,0.037648,0.018751,0.016127,210,32,-2.783813,-3.604563,1.356688,0.254188,2.835875,-1.096375,0.108100,0.133432,0.131973,0.085722,0.113900,0.087786,-2.727667,-3.681891,1.399307,0.175583,2.766458,-1.070854,-50.586456,0.230132,-50.356324,5.381888050930
237,cal-20260717T104800Z,2026-07-17T11:37:48.742419+00:00,-65.830780,-5.592068,0.706677,-60.396168,0.325617,0.001987,0.005997,0.011748,217,32,-3.175813,-2.688875,0.955500,0.514500,2.789938,-1.087187,0.110928,0.102444,0.121946,0.096406,0.086172,0.071969,-3.119667,-2.766203,0.998120,0.435896,2.720521,-1.061667,-60.721785,0.272893,-60.448892,5.381888050930
238,cal-20260717T104800Z,2026-07-17T11:38:11.159662+00:00,55.425756,-5.663999,-5.038147,60.702354,0.325617,0.004126,0.003605,0.005976,218,32,3.215625,-3.093125,1.111687,-1.849750,-0.934063,0.333813,0.135055,0.121787,0.101446,0.116089,0.086172,0.102207,3.271771,-3.170453,1.154307,-1.928354,-1.003479,0.359333,60.376737,0.430907,60.807644,5.381888050930
239,cal-20260717T104800Z,2026-07-17T11:38:16.817629+00:00,45.436553,-5.910349,-4.958736,50.673269,0.325617,0.009026,0.007568,0.005378,210,32,2.903250,-4.079250,1.479188,-1.868125,-0.324625,0.094938,0.110623,0.113389,0.130201,0.092929,0.109744,0.107019,2.959396,-4.156578,1.521807,-1.946729,-0.394042,0.120458,50.347652,0.470789,50.818441,5.381888050930
240,cal-20260717T104800Z,2026-07-17T11:38:23.213628+00:00,35.584412,-6.098018,-4.881633,40.776045,0.325617,0.002288,0.006788,0.002793,211,32,2.511250,-4.872438,1.822188,-1.767062,0.278687,-0.177625,0.107786,0.106293,0.119012,0.128102,0.102962,0.100920,2.567396,-4.949766,1.864807,-1.845667,0.209271,-0.152104,40.450428,0.515872,40.966300,5.381888050930
241,cal-20260717T104800Z,2026-07-17T11:38:32.070469+00:00,25.230919,-6.212353,-4.794119,30.360122,0.325617,0.007041,0.008771,0.001893,210,32,2.021250,-5.595188,2.054937,-1.644562,0.836063,-0.352187,0.140259,0.120307,0.139671,0.085269,0.108457,0.099130,2.077396,-5.672516,2.097557,-1.723167,0.766646,-0.326667,30.034505,0.578302,30.612807,5.381888050930
242,cal-20260717T104800Z,2026-07-17T11:38:39.063853+00:00,16.123173,-6.247234,-4.747701,21.216777,0.325617,0.001577,0.006817,0.004177,217,32,1.519000,-6.042312,2.247875,-1.448562,1.344437,-0.551250,0.134048,0.110228,0.105424,0.118687,0.109169,0.054251,1.575146,-6.119641,2.290495,-1.527167,1.275021,-0.525729,20.891160,0.613901,21.505061,5.381888050930
243,cal-20260717T104800Z,2026-07-17T11:38:45.599918+00:00,5.453513,-6.297111,-4.543453,10.626511,0.325617,0.001393,0.016107,0.002708,211,32,0.955500,-6.428187,2.358125,-1.145375,1.877312,-0.759500,0.111321,0.136019,0.096205,0.100920,0.117044,0.116754,1.011646,-6.505516,2.400745,-1.223979,1.807896,-0.733979,10.300894,0.534507,10.835401,5.381888050930
244,cal-20260717T104800Z,2026-07-17T11:38:52.151440+00:00,-4.584758,-6.249299,-4.404320,0.667822,0.325617,0.000981,0.014052,0.005341,210,32,0.385875,-6.556812,2.502063,-0.894250,2.250938,-0.866688,0.124304,0.112316,0.126887,0.073632,0.112660,0.086621,0.442021,-6.634141,2.544682,-0.972854,2.181521,-0.841167,0.342205,0.454925,0.797130,5.381888050930
245,cal-20260717T104800Z,2026-07-17T11:38:58.728572+00:00,-15.231213,-6.233930,-4.230500,-9.898740,0.325617,0.002121,0.012511,0.004097,217,32,-0.235813,-6.599687,2.474500,-0.563500,2.590875,-1.007562,0.121588,0.123484,0.111321,0.121946,0.099373,0.075642,-0.179667,-6.677016,2.517120,-0.642104,2.521458,-0.982042,-10.224357,0.375032,-9.849325,5.381888050930
246,cal-20260717T104800Z,2026-07-17T11:39:07.122496+00:00,-25.921804,-6.175134,-4.048473,-20.487370,0.325617,0.003798,0.017165,0.003474,217,32,-0.897312,-6.455750,2.385687,-0.229687,2.835875,-1.090250,0.105928,0.146736,0.084813,0.107381,0.108323,0.088882,-0.841167,-6.533078,2.428307,-0.308292,2.766458,-1.064729,-20.812987,0.273071,-20.539916,5.381888050930
