trial,sample,elapsed_s,S1_Bx_raw_mT,S1_By_raw_mT,S1_Bz_raw_mT,S2_Bx_raw_mT,S2_By_raw_mT,S2_Bz_raw_mT,S1_Bx_corrected_mT,S1_By_corrected_mT,S1_Bz_corrected_mT,S2_Bx_corrected_mT,S2_By_corrected_mT,S2_Bz_corrected_mT
1,37,26.497835,0.098000,-4.606000,1.862000,-1.176000,2.254000,-0.980000,0.158229,-4.684094,1.905385,-1.257667,2.182031,-0.948099
1,38,26.531255,0.000000,-4.704000,1.764000,-1.666000,2.254000,-0.784000,0.060229,-4.782094,1.807385,-1.747667,2.182031,-0.752099
1,39,26.564658,0.098000,-4.508000,1.666000,-1.666000,2.156000,-0.686000,0.158229,-4.586094,1.709385,-1.747667,2.084031,-0.654099
1,40,26.598045,0.196000,-4.508000,1.862000,-1.470000,2.058000,-0.686000,0.256229,-4.586094,1.905385,-1.551667,1.986031,-0.654099
1,41,26.631473,0.196000,-4.704000,1.862000,-1.372000,2.156000,-0.882000,0.256229,-4.782094,1.905385,-1.453667,2.084031,-0.850099
1,42,26.664871,0.392000,-4.704000,1.960000,-1.470000,2.156000,-0.588000,0.452229,-4.782094,2.003385,-1.551667,2.084031,-0.556099
1,43,26.698254,0.196000,-4.410000,1.764000,-1.372000,2.352000,-0.882000,0.256229,-4.488094,1.807385,-1.453667,2.280031,-0.850099
1,44,26.731676,0.196000,-4.508000,1.960000,-1.666000,2.156000,-0.686000,0.256229,-4.586094,2.003385,-1.747667,2.084031,-0.654099
1,45,26.765084,0.294000,-4.802000,1.764000,-1.372000,2.156000,-0.686000,0.354229,-4.880094,1.807385,-1.453667,2.084031,-0.654099
1,46,26.798478,0.000000,-4.508000,2.058000,-1.470000,2.156000,-0.686000,0.060229,-4.586094,2.101385,-1.551667,2.084031,-0.654099
1,47,26.831900,0.294000,-4.802000,1.960000,-1.470000,2.156000,-0.980000,0.354229,-4.880094,2.003385,-1.551667,2.084031,-0.948099
1,48,26.865298,0.196000,-4.606000,1.764000,-1.470000,2.254000,-0.784000,0.256229,-4.684094,1.807385,-1.551667,2.182031,-0.752099
